vset	V(vcell+)	V(vcell-)	I(R3)
2.970000000000002e-01	7.074668e-01	-7.787164e-03	1.484991e+00
2.980000000000002e-01	7.074373e-01	-7.815048e-03	1.489991e+00
2.990000000000002e-01	7.074078e-01	-7.842949e-03	1.494991e+00
3.000000000000002e-01	7.073782e-01	-7.870859e-03	1.499991e+00
3.010000000000002e-01	7.073486e-01	-7.898782e-03	1.504991e+00
3.020000000000002e-01	7.073190e-01	-7.926718e-03	1.509991e+00
3.030000000000002e-01	7.072895e-01	-7.954664e-03	1.514991e+00
3.040000000000002e-01	7.072598e-01	-7.982623e-03	1.519991e+00
3.050000000000002e-01	7.072302e-01	-8.010594e-03	1.524991e+00
3.060000000000002e-01	7.072006e-01	-8.038579e-03	1.529991e+00
3.070000000000002e-01	7.071709e-01	-8.066575e-03	1.534991e+00
3.080000000000002e-01	7.071413e-01	-8.094584e-03	1.539991e+00
3.090000000000002e-01	7.071116e-01	-8.122602e-03	1.544991e+00
3.100000000000002e-01	7.070819e-01	-8.150637e-03	1.549991e+00
3.110000000000002e-01	7.070522e-01	-8.178679e-03	1.554991e+00
3.120000000000002e-01	7.070224e-01	-8.206738e-03	1.559991e+00
3.130000000000002e-01	7.069927e-01	-8.234806e-03	1.564991e+00
3.140000000000002e-01	7.069630e-01	-8.262889e-03	1.569991e+00
3.150000000000002e-01	7.069332e-01	-8.290982e-03	1.574991e+00
3.160000000000002e-01	7.069035e-01	-8.319090e-03	1.579991e+00
3.170000000000002e-01	7.068737e-01	-8.347207e-03	1.584991e+00
3.180000000000002e-01	7.068439e-01	-8.375338e-03	1.589990e+00
3.190000000000002e-01	7.068141e-01	-8.403479e-03	1.594990e+00
3.200000000000002e-01	7.067842e-01	-8.431638e-03	1.599990e+00
3.210000000000002e-01	7.067544e-01	-8.459805e-03	1.604990e+00
3.220000000000002e-01	7.067245e-01	-8.487986e-03	1.609990e+00
3.230000000000002e-01	7.066947e-01	-8.516177e-03	1.614990e+00
3.240000000000002e-01	7.066647e-01	-8.544384e-03	1.619990e+00
3.250000000000002e-01	7.066349e-01	-8.572602e-03	1.624990e+00
3.260000000000002e-01	7.066050e-01	-8.600830e-03	1.629990e+00
3.270000000000002e-01	7.065750e-01	-8.629072e-03	1.634990e+00
3.280000000000002e-01	7.065451e-01	-8.657327e-03	1.639990e+00
3.290000000000002e-01	7.065151e-01	-8.685593e-03	1.644990e+00
3.300000000000002e-01	7.064852e-01	-8.713873e-03	1.649990e+00
3.310000000000002e-01	7.064552e-01	-8.742166e-03	1.654990e+00
3.320000000000002e-01	7.064252e-01	-8.770471e-03	1.659990e+00
3.330000000000002e-01	7.063951e-01	-8.798787e-03	1.664990e+00
3.340000000000002e-01	7.063652e-01	-8.827115e-03	1.669990e+00
3.350000000000002e-01	7.063351e-01	-8.855457e-03	1.674990e+00
3.360000000000002e-01	7.063050e-01	-8.883814e-03	1.679990e+00
3.370000000000002e-01	7.062750e-01	-8.912179e-03	1.684990e+00
3.380000000000002e-01	7.062449e-01	-8.940558e-03	1.689990e+00
3.390000000000002e-01	7.062148e-01	-8.968951e-03	1.694990e+00
3.400000000000002e-01	7.061847e-01	-8.997357e-03	1.699990e+00
3.410000000000002e-01	7.061546e-01	-9.025774e-03	1.704990e+00
3.420000000000002e-01	7.061244e-01	-9.054204e-03	1.709990e+00
3.430000000000002e-01	7.060943e-01	-9.082648e-03	1.714990e+00
3.440000000000003e-01	7.060641e-01	-9.111103e-03	1.719990e+00
3.450000000000003e-01	7.060339e-01	-9.139569e-03	1.724990e+00
3.460000000000003e-01	7.060038e-01	-9.168048e-03	1.729990e+00
3.470000000000003e-01	7.059736e-01	-9.196543e-03	1.734990e+00
3.480000000000003e-01	7.059433e-01	-9.225047e-03	1.739990e+00
3.490000000000003e-01	7.059131e-01	-9.253566e-03	1.744990e+00
3.500000000000003e-01	7.058828e-01	-9.282097e-03	1.749990e+00
3.510000000000003e-01	7.058526e-01	-9.310642e-03	1.754990e+00
3.520000000000003e-01	7.058223e-01	-9.339198e-03	1.759990e+00
3.530000000000003e-01	7.057920e-01	-9.367767e-03	1.764990e+00
3.540000000000003e-01	7.057617e-01	-9.396350e-03	1.769990e+00
3.550000000000003e-01	7.057314e-01	-9.424946e-03	1.774990e+00
3.560000000000003e-01	7.057011e-01	-9.453552e-03	1.779990e+00
3.570000000000003e-01	7.056707e-01	-9.482170e-03	1.784990e+00
3.580000000000003e-01	7.056403e-01	-9.510803e-03	1.789990e+00
3.590000000000003e-01	7.056100e-01	-9.539451e-03	1.794990e+00
3.600000000000003e-01	7.055796e-01	-9.568110e-03	1.799990e+00
3.610000000000003e-01	7.055492e-01	-9.596783e-03	1.804990e+00
3.620000000000003e-01	7.055187e-01	-9.625464e-03	1.809990e+00
3.630000000000003e-01	7.054883e-01	-9.654163e-03	1.814990e+00
3.640000000000003e-01	7.054579e-01	-9.682870e-03	1.819990e+00
3.650000000000003e-01	7.054274e-01	-9.711592e-03	1.824990e+00
3.660000000000003e-01	7.053969e-01	-9.740329e-03	1.829990e+00
3.670000000000003e-01	7.053664e-01	-9.769077e-03	1.834990e+00
3.680000000000003e-01	7.053359e-01	-9.797838e-03	1.839990e+00
3.690000000000003e-01	7.053054e-01	-9.826614e-03	1.844990e+00
3.700000000000003e-01	7.052749e-01	-9.855400e-03	1.849990e+00
3.710000000000003e-01	7.052443e-01	-9.884198e-03	1.854990e+00
3.720000000000003e-01	7.052137e-01	-9.913012e-03	1.859990e+00
3.730000000000003e-01	7.051831e-01	-9.941840e-03	1.864990e+00
3.740000000000003e-01	7.051526e-01	-9.970679e-03	1.869990e+00
3.750000000000003e-01	7.051219e-01	-9.999526e-03	1.874990e+00
3.760000000000003e-01	7.050914e-01	-1.002839e-02	1.879990e+00
3.770000000000003e-01	7.050607e-01	-1.005727e-02	1.884990e+00
3.780000000000003e-01	7.050300e-01	-1.008616e-02	1.889990e+00
3.790000000000003e-01	7.049994e-01	-1.011507e-02	1.894990e+00
3.800000000000003e-01	7.049687e-01	-1.014398e-02	1.899990e+00
3.810000000000003e-01	7.049380e-01	-1.017291e-02	1.904990e+00
3.820000000000003e-01	7.049073e-01	-1.020185e-02	1.909990e+00
3.830000000000003e-01	7.048765e-01	-1.023081e-02	1.914990e+00
3.840000000000003e-01	7.048458e-01	-1.025978e-02	1.919990e+00
3.850000000000003e-01	7.048151e-01	-1.028876e-02	1.924990e+00
