vset	V(vmeas)	I(R3)
2.950000000000002e-01	7.152287e-01	1.474991e+00
2.960000000000002e-01	7.152271e-01	1.479991e+00
2.970000000000002e-01	7.152255e-01	1.484991e+00
2.980000000000002e-01	7.152238e-01	1.489991e+00
2.990000000000002e-01	7.152221e-01	1.494991e+00
3.000000000000002e-01	7.152205e-01	1.499991e+00
3.010000000000002e-01	7.152188e-01	1.504991e+00
3.020000000000002e-01	7.152172e-01	1.509991e+00
3.030000000000002e-01	7.152156e-01	1.514991e+00
3.040000000000002e-01	7.152139e-01	1.519991e+00
3.050000000000002e-01	7.152122e-01	1.524991e+00
3.060000000000002e-01	7.152106e-01	1.529991e+00
3.070000000000002e-01	7.152089e-01	1.534991e+00
3.080000000000002e-01	7.152073e-01	1.539991e+00
3.090000000000002e-01	7.152056e-01	1.544991e+00
3.100000000000002e-01	7.152039e-01	1.549991e+00
3.110000000000002e-01	7.152023e-01	1.554991e+00
3.120000000000002e-01	7.152006e-01	1.559991e+00
3.130000000000002e-01	7.151989e-01	1.564991e+00
3.140000000000002e-01	7.151973e-01	1.569991e+00
3.150000000000002e-01	7.151957e-01	1.574991e+00
3.160000000000002e-01	7.151939e-01	1.579991e+00
3.170000000000002e-01	7.151923e-01	1.584991e+00
3.180000000000002e-01	7.151906e-01	1.589990e+00
3.190000000000002e-01	7.151889e-01	1.594990e+00
3.200000000000002e-01	7.151873e-01	1.599990e+00
3.210000000000002e-01	7.151856e-01	1.604990e+00
3.220000000000002e-01	7.151839e-01	1.609990e+00
3.230000000000002e-01	7.151822e-01	1.614990e+00
3.240000000000002e-01	7.151806e-01	1.619990e+00
3.250000000000002e-01	7.151788e-01	1.624990e+00
3.260000000000002e-01	7.151772e-01	1.629990e+00
3.270000000000002e-01	7.151755e-01	1.634990e+00
3.280000000000002e-01	7.151738e-01	1.639990e+00
3.290000000000002e-01	7.151721e-01	1.644990e+00
3.300000000000002e-01	7.151704e-01	1.649990e+00
3.310000000000002e-01	7.151687e-01	1.654990e+00
3.320000000000002e-01	7.151670e-01	1.659990e+00
3.330000000000002e-01	7.151654e-01	1.664990e+00
3.340000000000002e-01	7.151636e-01	1.669990e+00
3.350000000000002e-01	7.151620e-01	1.674990e+00
3.360000000000002e-01	7.151603e-01	1.679990e+00
3.370000000000002e-01	7.151586e-01	1.684990e+00
3.380000000000002e-01	7.151569e-01	1.689990e+00
3.390000000000002e-01	7.151551e-01	1.694990e+00
3.400000000000002e-01	7.151535e-01	1.699990e+00
3.410000000000002e-01	7.151517e-01	1.704990e+00
3.420000000000002e-01	7.151501e-01	1.709990e+00
3.430000000000002e-01	7.151483e-01	1.714990e+00
3.440000000000003e-01	7.151466e-01	1.719990e+00
3.450000000000003e-01	7.151449e-01	1.724990e+00
3.460000000000003e-01	7.151432e-01	1.729990e+00
3.470000000000003e-01	7.151415e-01	1.734990e+00
3.480000000000003e-01	7.151397e-01	1.739990e+00
3.490000000000003e-01	7.151380e-01	1.744990e+00
3.500000000000003e-01	7.151363e-01	1.749990e+00
3.510000000000003e-01	7.151346e-01	1.754990e+00
3.520000000000003e-01	7.151329e-01	1.759990e+00
3.530000000000003e-01	7.151312e-01	1.764990e+00
3.540000000000003e-01	7.151294e-01	1.769990e+00
3.550000000000003e-01	7.151277e-01	1.774990e+00
3.560000000000003e-01	7.151260e-01	1.779990e+00
3.570000000000003e-01	7.151242e-01	1.784990e+00
